abbey	#604E97
absinthe	#8A9A5B
absinthe green	#8A9A5B
absinthe yellow	#B9B57D
absinthe yellow	#C9AE5D
abstract blue	#BCD4E6
abyss	#8DA399
acacia	#B9B459
acacia	#5E716A
acacia gray	#7D8984
acacia green	#7D8984
academy blue	#367588
acajou	#79443B
acajou red	#905D5D
acanthe	#6C541E
acetin blue	#4C516D
acier	#8C8767
ackermann's green	#355E3B
ackermann's green	#3B7861
aconite violet	#2F2140
aconite violet	#86608E
acorn	#7E6D5A
adamia	#563C5C
adelaide	#32174D
aden	#6AAB8E
admiral	#242124
admiral	#50404D
adobe	#826644
adobe brown	#826644
adrianople red	#AB4E52
adriatic	#317873
adust	#AE6938
aero	#536878
aerugineus	#317873
afghan	#3E322C
afghan red	#BE0032
african	#222222
african brown	#3E322C
african brown	#5B504F
african green	#36454F
african night	#43302E
afterglow	#9690AB
after glow	#E8CCD7
agate	#80461B
agate grey	#B9B8B5
agathia green	#44944A
agean mist	#B2BEB5
ageratum	#C3A6B1
ageratum blue	#AA98A9
ageratum violet	#796878
ageratum violet	#86608E
air blue	#436B95
air castle blue	#BCD4E6
aircraft cream	#C2B280
aircraft gray	#B9B8B5
airedale	#7E6D5A
airway	#70A3CC
airy cream	#F2F3F4
akbar	#79443B
alabaster	#BFB8A5
alabaster tint	#E9E9ED
aladdin's lamp	#CB6D51
alamo	#80461B
alcanna	#882D17
alcazar	#882D17
alderney	#826644
alesan	#958070
alexandria blue	#0067A5
alfalfa	#355E3B
algerian	#6F4E37
algerian red	#56070C
algiers blue	#367588
algonquin	#AE6938
alhambra	#004B49
alice blue	#91A3B0
alizarine blue	#436B95
alizarine pink	#E4717A
alkermes	#BE0032
allure	#70A3CC
almond	#C19A6B
almond	#AE9B82
almond blossom	#C4AEAD
almond brown	#AE9B82
almond cream	#FAD6A5
almond green	#5E716A
almond green	#5E716A
almond green	#5E716A
almond 	#C4AEAD
aloes 	#8DA399
aloma	#826644
alpine	#536878
alpine blue	#C0C8E1
alpine green	#3A4B47
aluminum	#848482
amaranth	#702963
amaranth	#915F6D
amaranthine	#915F6D
amaranth pink	#DE6FA1
amaranth purple	#78184A
amaranth rose	#E68FAC
amarna	#1B4D3E
amarylis	#905D5D
amazon	#3B7861
amber	#BE8A3D
amber brown	#AE6938
amber brown	#80461B
amber coral	#D9A6A9
amberglow	#A67B5B
amber gold	#A18F60
amberlite	#C19A6B
amber white	#DADFB7
amber yellow	#F8DE7E
amber 	#C9AE5D
amber yellow	#C9AE5D
ambrosia	#79443B
ambrosia	#B6E5AF
ambulance	#43302E
amelie	#3E322C
american beauty	#722F37
american beauty	#A8516E
american beauty	#673147
american green	#5E716A
american green	#679267
amethyst	#836479
amethyst	#86608E
amethyst orchid	#B695C0
amethyst violet	#9A4EAE
amethyst 	#796878
amethyst violet	#9A4EAE
amparo blue	#6C79B8
amparo blue	#6C79B8
amparo purple	#86608E
amparo purple	#875692
amulet	#004B49
amulet	#317873
anamite	#8C8767
anatolia	#56070C
anatta	#D9A6A9
ancestral	#B9B8B5
andorra	#43302E
andorre	#5E716A
andover green	#515744
andover green	#8F9779
andrinople berries	#E3A857
anemone	#AA8A9E
angel blue	#BCD4E6
angel red	#79443B
angel wing	#EFBBCC
angora	#F0EAD6
aniline black	#5D555B
aniline lilac	#8C82B6
aniline yellow	#AF8D13
animal rouge	BC3F4A
annapolis	#555555
annatto	#D9A6A9
annotto	#D9A6A9
antelope	#967117
anthracene green	#004B49
anthracene purple	#673147
anthracene violet	#604E81
anti-corrosive brown	#422518
anti-corrosive green	#403D21
antimony yellow	#E3A857
antique	#6C541E
antique brass	#8C8767
antique brass	#AB9144
antique bronze	#826644
antique bronze	#665D1E
antique brown	#6F4E37
antique brown	#6F4E37
antique drab	#6C541E
antique fuchsia	#915C83
antique fuchsia	#915C83
antique gold	#996515
antique gold	#98943E
antique green	#3A4B47
antique green	#3A4B47
antique red	#79443B
antique rose	#905D5D
antique ruby	#841B2D
antique yellow	#C9AE5D
antwerp blue	#436B95
antwerp blue	#536878
antwerp brown	#483C32
antwerp red	#79443B
apache	#6F4E37
aphrodite	#66ADA4
appleblossom 	#905D5D
apple-fallow	#AB4E52
apple green	#8A9A5B
apple green	#7E9F2E
apple green	#44944A
apple green	#679267
apple red	#BE0032
apricot	#EAA221
apricot	#D99058
apricot	#FAB57F
apricot	#D99058
apricot	#D99058
apricot buff	#D99058
apricot cream	#F3E5AB
apricot ice	#FAD6A5
apricot orange	#D99058
apricot sherbet	#FBC97F
apricot tan	#E3A857
apricot yellow	#C9AE5D
apricot yellow	#D4AF37
april sky	#96DED1
aqua	#66AABC
aqua	#66ADA4
aqua blue	#66AABC
aqua gray	#8DA399
aqua gray	#81878B
aquagreen	#93C592
aqua green	#66AABC
aqua green tint	#C7E6D7
aquamarine	#91A3B0
aquamarine green	#317873
aqua queen	#96DED1
aqua sky	#66ADA4
arab 	#80461B
arabesque	#CB6D51
arabian brown	#6F4E37
arabian red	#56070C
araby	#A87C6D
aragon	#79443B
arbor green	#679267
arbutus	#DE6FA1
arbutus pink	#DEA5A4
arcadia	#B9B459
arcadian green	#93C592
archel	#A8516E
archil	#A8516E
arctic	#222222
arctic	#36454F
arctic blue	#536878
ardoise	#796878
argali	#555555
argent	#848482
argentina	#422518
argus brown	#6F4E37
argyle purple	#836479
argyle purple	#915C83
arizona	#C19A6B
armada	#3E322C
armeniacus	#D99058
armenian blue	#0067A5
armenian bole	#79443B
armenian red	#80461B
armenian stone	#436B95
army brown	#A67B5B
army brown	#635147
arno blue	#004958
arno blue	#367588
arnotto	#D9A6A9
arona	#36454F
arrowwood	#967117
arsenate	#007959
art brown	#422518
artemesia green	#7D8984
art gray	#848482
art green	#4A5D23
artichoke green	#8F9779
artificial ultramarine	#545AA7
artificial vermilion	#915F6D
artillery	#BE0032
ascot tan	#635147
ash 	#B2BEB5
ashes of rose	#915F6D
ashes of rose	#905D5D
ashes of rose	#915F6D
ashes of roses	#C17E91
ashes	#8E8279
ash rose	#915F6D
asmalte	#436B95
asparagus green	#DADFB7
aspen green	#5E716A
asphalt	#555555
asphaltum	#483C32
asphodel green	#8A9A5B
aster	#796878
aster purple	#78184A
aster violet	#9065CA
asthetic blue	#66AABC
athenia	#905D5D
atlantic	#36454F
atlantis	#36454F
atlantis	#00304E
atmosphere	#BFB8A5
atonement	#AA98A9
atramentous	#51585E
atroardesiacus	#222222
atrocyaneus	#536878
atroherbaceus	#5E716A
atrolazulinus	#4C516D
atrolividus	#673147
atromurinus	#555555
atropurpureus	#673147
atrovenetus	#36454F
atrovinosus	#915F6D
atroviolaceus	#50404D
atroviridis	#004B49
attar of roses	#A87C6D
aubergine	#242124
auburn	#6F4E37
auburn	#79443B
aubusson	#722F37
aucuba	#867E36
aurantiacus	#EAA221
aureolin	#F3C300
aureolin	#D4AF37
auricula purple	#702963
auricula purple	#673147
auripigmentum	#C9AE5D
aurora 	#CB6D51
aurora pink	#D597AE
aurora red	#CB6D51
aurora yellow	#E3A857
aurora yellow	#F8DE7E
aurore	#DEA5A4
aurum	#967117
australian pine	#355E3B
auteuil	#E3A857
autumn	#363527
autumn blonde	#635147
autumn brown	#483C32
autumn brown	#6C541E
autumn brown	#635147
autumn glory	#9E4732
autumn glory	#BE8A3D
autumn gold	#BE8A3D
autumn green	#4A5D23
autumn leaf	#80461B
autumn oak	#674C47
autumn tan	#826644
avellaneous	#996515
avellaneous	#AE9B82
avellaneus	#AE9B82
avignon berries	#E3A857
avon	#7D8984
azalea	#905D5D
azalea	#A8516E
azalea pink	#E66761
aztec	#826644
aztec maroon	#915F6D
azulin	#536878
azure blue	#8791BF
azurite blue	#536878
azurite blue	#4E5180
baby blue	#81878B
baby blue	#A1CAF1
baby blue	#BCD4E6
baby blue	#BCD4E6
baby blue eyes	#B3BCE2
baby pink	#D9A6A9
baby pink	#E8CCD7
baby pink	#F9CCCA
baby rose	#F88379
bacchus	#A8516E
bachelor button	#E4717A
badius	#674C47
bagdad	#202830
bagdad	#905D5D
bakst green	#1B4D3E
balge yellow	#FADA5E
ballad blue	#8791BF
ballerina	#DCD0FF
ball lake	BC3F4A
balmy air	#BCD4E6
balsam	#36454F
balsam green	#222222
balsam green	#3A4B47
baltic	#004B49
baltic	#222222
bambino	#91A3B0
bamboo	#826644
bamboo	#C2B280
banana	#C2B280
banana	#F8DE7E
banner	#4C516D
banshee	#3A4B47
banshee	#004B49
barberry	#AB4E52
barium yellow	#FADA5E
barium yellow	#B9B459
bark	#3B3121
barn red	#79443B
baronet	#70A3CC
barwood	#AB4E52
baryta yellow	#F8DE7E
basic	#004B49
basketball	#9065CA
bastard saffron	#BE0032
bat	#555555
bath stone	#FAD6A5
battleship gray	#848482
battleship grey	#848482
bavarian blue	#00304E
bay	#6F4E37
bay	#79443B
bayberry	#5E716A
bayberry gray	#8DA399
bay leaf	#996515
bayou	#3A4B47
bayou	#222222
beach	#8A8776
beach tan	#635147
bear	#555555
bear's hair	#555555
bearskin 	#555555
beau blue	#BCD4E6
beaucaire	#367588
beautiful	#317873
beauty pink	#FFC8D6
beaver	#5B504F
beaver	#6C541E
beaver	#635147
beaver gray	#555555
beaverpelt	#57554C
beech	#57554C
beechnut	#635147
beef's blood	#79443B
beeswax	#826644
beetle	#515744
beetroot purple	#54133B
begonia	#E66761
begonia	#E4717A
begonia rose	#AB4E52
begonia rose	#E66761
beige	#C2B280
beige	#967117
beige	#958070
beige brown	#6C541E
beige gray	#BFB8A5
beige gray	#848482
beige soir&eacute;e	#C19A6B
belladonna	#563C5C
belladonna	#86608E
belleek	#BFB8A5
bellemonte	#AB4E52
bellflower	#272458
bellflower	#604E81
benzo brown	#635147
benzol green	#007A74
berlin blue	#00304E
berlin brown	#674C47
berlin red	#79443B
bermuda	#E4717A
beryl	#66AABC
beryl blue	#66AABC
beryl blue	#9CD1DC
beryl green	#66ADA4
beryl green	#00A693
best effort	#DADFB7
bewitch	#00A693
bewitching blue	#70A3CC
biarritz	#967117
bice green	#8A9A5B
big four yellow	#ED872D
billiard	#1B4D3E
billiard	#004B49
billow	#BCD4E6
birch	#DFEDE8
bird's-egg-green	#66ADA4
biscay bay	#536878
biscay green	#8A9A5B
biscuit	#AE9B82
biscuit	#C2B280
