absinthe green	#8A9A5B
acajou red	#905D5D
acetin blue  	#367588
ackermann's green	#3B7861
aconite violet	#86608E
ageratum violet	#86608E
alice blue	#91A3B0
alizarine blue	#436B95
alizarine pink	#EA9399
amaranth pink	#DE6FA1
amaranth purple	#78184A
amber brown	#80461B
amber yellow 	#FADA5E
american green	#679267
amethyst violet	#9A4EAE
amparo blue	#6C79B8
amparo purple	#D399E6
andover green	#8F9779
aniline black	#50404D
aniline lilac	#8C82B6
aniline yellow	#AF8D13
anthracene green	#317873
anthracene purple	#50404D
anthracene violet	#604E81
antimony yellow	#E3A857
antique brown	#80461B
antique green	#5E716A
antwerp blue	#436B95
apple green	#7E9F2E
apricot buff	#D99058
apricot orange	#D99058
apricot yellow	#D4AF37
argus brown	#6F4E37
argyle purple	#915C83
army brown	#6F4E37
artemesia green	#7D8984
asphodel green	#8A9A5B
aster purple	#78184A
auburn	#79443B
auricula purple	#673147
avellaneous	#C19A6B
azurite blue	#4E5180
barium yellow	#EAE679
baryta yellow	#F8DE7E
bay	#79443B
begonia rose	#E66761
benzo brown	#977F73
benzol green	#007A74
berlin blue	#00304E
beryl blue	#9CD1DC
beryl green	#00A693
bice green	#8A9A5B
biscay green	#8A9A5B
bishop's purple	#915C83
bister	#7E6D5A
bittersweet orange	#CB6D51
bittersweet pink	#D99058
black	#222222
blackish green-blue	#004958
blackish green-gray	#222222
blackish mouse-gray	#5B504F
blackish plumbeous	#51585E
blackish purple	#5D3954
blackish red-purple	#673147
blackish slate	#555555
blackish violet	#604E81
blackish violet-gray	#5D555B
blanc's blue	#436B95
blanc's violet	#554C69
blue-violet	#30267A
blue-violet black	#5D555B
bluish black	#36454F
bluish glaucous	#C7E6D7
bluish gray-green	#8DA399
bluish lavender	#8C82B6
bluish slate-black	#00304E
bluish violet	#30267A
bone brown	#635147
bordeaux	#673147
bottle green	#1B4D3E
bradley's blue	#00A1C2
bradley's violet	#7E73B8
brazil red	#9E4732
bremen blue	#66AABC
brick red	#79443B
bright chalcedony yellow	#BDDA57
bright green-yellow	#8DB600
brownish drab	#977F73
brownish olive	#6C541E
brownish vinaceous	#AD8884
brussels brown	#6F4E37
buckthorn brown	#996515
buff-pink or buff pink	#D9A6A9
buffy brown 	#C19A6B
buffy citrine	#967117
buff-yellow or buff yellow	#F8DE7E
buffy olive	#867E36
burn blue	#A1CAF1
burnt lake	#5D3954
burnt sienna	#882D17
burnt umber	#674C47
cacao brown	#A87C6D
cadet blue	#0067A5
cadet gray	#91A3B0
cadmium orange	#F38400
cadmium yellow	#ED872D
calamine blue	#9CD1DC
calla green	#665D1E
calliste green	#7E9F2E
cameo brown	#79443B
cameo pink	#FFC8D6
capri blue  	#367588
capucine buff  	#FBC97F
capucine orange 	#D99058
capucine yellow  	#EAA221
carmine	#BE0032
carnelian red	#D9603B
carob brown	#3E1D1E
carrot red	#CB6D51
cartridge buff	#F3E5AB
castor gray	#7D8984
cedar green	#8A9A5B
celandine green	#8DA399
cendre blue	#239EBA
cendre green	#83D37D
cerulean blue	#0067A5
chaetura black	#483C32
chaetura drab	#5B504F
chalcedony yellow	#EAE679
chamois	#C9AE5D
chapman's blue	#436B95
chartreuse yellow	#EAE679
chatenay pink	#DEA5A4
chessylite blue	#367588
chestnut	#79443B
chestnut-brown	#79443B
chicory blue	#8791BF
china blue	#436B95
chinese violet	#86608E
chocolate	#674C47
chromium green	#8A9A5B
chrysolite green	#8A9A5B
chrysopraise green	#93C592
cinereous	#B4BCC0
cinnamon	#A67B5B
cinnamon-brown	#6F4E37
cinnamon-buff	#E3A857
cinnamon-drab	#977F73
cinnamon-rufous	#AE6938
citrine	#867E36
citrine-drab	#867E36
citron green	#B9B459
citron yellow	#E9E450
civette green	#679267
claret brown	#79443B
clay color	#996515
clear cadet blue	#4997D0
clear dull green-yellow	#BDDA57
clear fluorite green	#93C592
clear green-blue gray	#91A3B0
clear payne's gray  	#536878
clear windsor blue	#8791BF
clear yellow-green	#BDDA57
clove brown	#483C32
cobalt green	#6AAB8E
colonial buff	#F8DE7E
columbia blue	#70A3CC
commelina blue	#30267A
congo pink	#F88379
coral pink	#F88379
coral red	#CB6D51
corinthian pink	#DEA5A4
corinthian purple	#673147
corinthian red	#905D5D
cornflower blue	#30267A
corydalis green	#C9DC89
cossack green	#4A5D23
cosse green	#7E9F2E
cotinga purple	#602F6B
courge green	#8A9A5B
court gray	#C7E6D7
court grey  	#C7E6D7
cream buff	#F8DE7E
cream color	#F8DE7E
cress green	#8A9A5B
cyanine blue	#4E5180
dahlia carmine	#673147
dahlia purple	#673147
daphne pink	#DE6FA1
daphne red	#A8516E
dark american green	#355E3B
dark aniline blue	#36454F
dark anthracene violet	#563C5C
dark bluish glaucous	#6AAB8E
dark bluish gray-green	#5E716A
dark bluish violet	#604E81
dark cadet blue	#436B95
dark chessylite blue	#004958
dark cinnabar green	#317873
dark citrine	#665D1E
dark corinthian purple	#673147
dark cress green	#4A5D23
dark delft blue	#00304E
dark diva blue	#545AA7
dark dull bluish violet	#604E81
dark dull bluish violet	#554C69
dark dull bluish violet	#563C5C
dark dull violet-blue	#4C516D
dark dull violet-blue	#554C69
dark dull yellow-green	#4A5D23
dark glaucous-gray	#5E716A
dark grayish blue-green	#4E5755
dark grayish blue-violet	#554C69
dark grayish brown	#905D5D
dark grayish lavender	#9690AB
dark grayish olive	#57554C
dark green	#355E3B
dark green-blue gray	#536878
dark green-blue slate	#00304E
dark greenish glaucous	#93C592
dark greenish olive	#665D1E
dark gull gray	#555555
dark heliotrope gray	#796878
dark heliotrope slate	#50404D
dark hyssop violet	#563C5C
dark indian red	#905D5D
dark ivy green	#515744
dark lavender	#B695C0
dark livid brown	#905D5D
dark livid purple	#50404D
dark madder blue	#536878
dark madder violet	#563C5C
dark maroon purple	#5D3954
dark medici blue	#51585E
dark mineral red 	#905D5D
dark mouse gray 	#5B504F
dark naphthalene violet 	#50404D
dark neutral gray	#555555
dark nigrosin violet	#563C5C
dark olive	#5B5842
dark olive-buff	#A18F60
dark olive-gray	#5B5842
dark orient blue	#536878
dark payne's gray	#36454F
dark perilla purple	#673147
dark plumbago blue	#9690AB
dark plumbago gray	#796878
dark plumbago slate	#5D555B
dark plumbeous	#51585E
dark porcelain green	#5E716A
dark purple-drab	#796878
dark purplish gray	#5D555B
dark quaker drab	#5D555B
dark russian green	#5E716A
dark slate-purple	#5D3954
dark slate-violet   	#5D555B
dark slate-violet   	#796878
dark soft blue-violet	#4E5180
dark soft bluish violet	#604E81
dark sulphate green	#317873
dark terre verte	#5E716A
dark tyrian blue	#536878
dark varley's gray	#5D555B
dark vinaceous	#905D5D
dark vinaceous-brown	#905D5D
dark vinaceous-drab	#905D5D
dark vinaceous-gray	#796878
dark vinaceous-purple	#673147
dark violet	#604E81
dark violet-gray	#5D555B
dark violet-slate	#536878
dark viridian green	#3B7861
dark yellowish green	#355E3B
dark yvette violet	#50404D
dark zinc green	#3B7861
dauphin's violet	#604E81
dawn gray	#B4BCC0
deep aniline lilac	#4997D0
deep blue-violet	#30267A
deep bluish glaucous	#96DED1
deep bluish gray-green	#5E716A
deep brownish drab	#635147
deep brownish vinaceous	#905D5D
deep cadet blue	#436B95
deep chicory blue	#7E73B8
deep chrome	#EAA221
deep chrysolite green	#8A9A5B
deep colonial buff	#C9AE5D
deep corinthian red	#905D5D
deep delft blue	#536878
deep dull bluish violet	#604E97
deep dull bluish violet	#8C92AC
deep dull bluish violet	#604E81
deep dull lavender	#AA98A9
deep dull violaceous blue	#4E5180
deep dull violet-blue	#604E81
deep dutch blue	#536878
deep glaucous-gray	#81878B
deep glaucous-green	#6AAB8E
deep grape green	#8A9A5B
deep grayish blue-green	#5E716A
deep grayish lavender  	#9690AB
deep grayish olive	#57554C
deep green-blue gray	#536878
deep greenish glaucous	#8ED1B2
deep gull gray	#848482
deep heliotrope gray 	#796878
deep hyssop violet	#86608E
deep lavender	#8C82B6
deep lavender-blue	#6C79B8
deep lichen green	#93C592
deep livid brown	#905D5D
deep livid purple	#673147
deep madder blue	#4C516D
deep malachite green	#679267
deep medici blue	#81878B
deep mouse gray 	#5B504F
deep neutral gray	#555555
deep olive	#665D1E
deep olive-buff	#C2B280
deep olive-gray	#8A8776
deep orient blue	#536878
deep payne's gray	#536878
deep plumbago blue	#AA98A9
deep plumbago gray	#8B8589
deep plumbeous	#536878
deep purplish gray	#5D555B
deep purplish vinaceous	#915F6D
deep quaker drab	#5D555B
deep rose pink	#E68FAC
deep sea-foam green  	#C9DC89
deep slate-blue	#536878
deep slate-green	#4E5755
deep slate-olive	#4E5755
deep slate-violet	#796878
deep slaty brown	#50404D
deep soft blue-violet	#4E5180
deep soft bluish violet	#604E97
deep turtle green	#44944A
deep varley's gray	#796878
deep vinaceous	#C08081
deep vinaceous-gray	#796878
deep vinaceous-lavender	#AA8A9E
deep violet-gray	#8B8589
deep violet-plumbeous  	#4C516D
deep wedgewood blue	#6C79B8
delft blue	#536878
diamin-azo blue	#554C69
diamine brown	#674C47
diamine green	#3B7861
diva blue	#6C79B8
drab	#C19A6B
drab-gray	#AE9B82
dragons-blood red	#9E4732
dresden brown	#826644
duck green	#3A4B47
dull blackish green	#3A4B47
dull blue-green black	#36454F
dull blue-violet	#545AA7
dull blue-violet	#604E81
dull bluish violet	#7E73B8
dull bluish violet	#8C82B6
dull bluish violet	#604E97
dull citrine	#867E36
dull dark purple	#9E4F88
dull dusky purple	#50404D
dull greenish black  	#4E5755
dull greenish black  	#4E5755
dull green-yellow	#7E9F2E
dull indian purple	#915F6D
dull lavender	#C3A6B1
dull magenta purple	#9E4F88
dull opaline green	#C7E6D7
dull purplish black	#5D555B
dull violaceous blue	#545AA7
dull violet-black   	#5D555B
dull violet-black   	#36454F
dull violet-black   	#50404D
dull violet-blue	#545AA7
dull violet-blue	#604E81
dusky auricula purple	#5D3954
dusky blue	#4C516D
dusky blue-green	#3A4B47
dusky blue-violet	#554C69
dusky blue-violet	#2F2140
dusky bluish green	#4E5755
dusky brown  	#50404D
dusky drab	#5B504F
dusky dull bluish green	#3A4B47
dusky dull green	#3A4B47
dusky dull violet   	#563C5C
dusky dull violet   	#86608E
dusky dull violet-blue  	#554C69
dusky green	#5E716A
dusky green-blue  	#004B49
dusky green-blue  	#536878
dusky green-gray	#555555
dusky greenish blue	#00416A
dusky neutral gray	#555555
dusky olive-green	#515744
dusky orient blue	#536878
dusky purplish gray	#50404D
dusky slate-blue	#36454F
dusky slate-violet	#50404D
dusky violet	#50404D
dusky violet-blue   	#4C516D
dusky violet-blue   	#36454F
dusky yellowish green	#515744
dutch blue	#91A3B0
ecru-drab	#C2AC99
ecru-olive	#AB9144
elm green	#4A5D23
emerald green	#83D37D
empire green	#5E716A
empire yellow	#FADA5E
endive blue	#8791BF
english red	#9E4732
eosine pink	#E4717A
ethyl green	#007A74
eton blue	#436B95
etruscan red	#905D5D
eugenia red	#AB4E52
eupatorium purple	#B784A7
fawn color	#977F73
ferruginous	#CB6D51
flame scarlet  	#E25822
flax-flower blue  	#6C79B8
flesh color	#DEA5A4
flesh-ochre  	#D99058
flesh pink	#F4C2C2
fluorite green	#679267
fluorite violet	#563C5C
forest green	#8A9A5B
forget-me-not blue	#6C79B8
french gray	#91A3B0
french green	#3B7861
fuscous	#5B504F
fuscous-black	#5B504F
garnet brown	#841B2D
gendarme blue	#436B95
gentian blue	#545AA7
geranium pink	#E4717A
glass green	#C9DC89
glaucous	#DADFB7
glaucous-blue	#66AABC
glaucous-gray	#B4BCC0
glaucous-green	#8DA399
gnaphalium green	#C7E6D7
grass green	#8A9A5B
grayish blue-green	#5E716A
grayish blue-violet 	#545AA7
grayish blue-violet  	#8791BF
grayish lavender	#AA98A9
grayish olive	#8C8767
grayish violaceous blue	#8791BF
grayish violet-blue	#8C82B6
green-blue slate	#536878
greenish glaucous	#C7E6D7
greenish glaucous-blue	#66ADA4
greenish slate-black	#3A4B47
greenish yellow	#BEB72E
green-yellow	#E9E450
grenadine	#D9603B
grenadine pink	#F88379
grenadine red  	#E25822
guinea green	#007A74
gull gray	#848482
haematite red	#674C47
haematoxylin violet	#86608E
hair brown	#5B504F
hathi gray	#B2BEB5
