rgb(244,193,206)	Hermosa Pink
rgb(246,188,202)	La France Pink
rgb(245,208,198)	Shrimp Pink
rgb(247,83,107)	Eosine Pink
rgb(246,103,114)	Geranium Pink
rgb(246,107,66)	Strawberry Pink
rgb(245,32,45)	Begonia Rose
rgb(244,36,35)	Rose Doree
rgb(245,78,41)	Peach Red
rgb(158,3,4)	Spectrum Red
rgb(217,4,4)	Scarlet-Red
rgb(237,11,4)	Scarlet
rgb(111,2,3) 	Carmine
rgb(172,4,4)	Nopal Red
rgb(152,5,4)	Brazil Red
rgb(35,2,3) 	Ox-blood Red
rgb(43,2,4)	Garnet Brown
rgb(56,3,2)	Morocco Red
rgb(16,2,2)	Victoria Lake
rgb(9,3,0)	Maroon
rgb(21,4,4)	Claret Brown
rgb(243,193,173)	Safrano Pink
rgb(245,194,167)	Orient Pink
rgb(244,198,154)	Orange-Pink
rgb(247,121,81)	Grenadine Pink
rgb(244,129,74)	Bittersweet Pink
rgb(245,159,79)	Light Salmon-Orange
rgb(246,71,24)	Grenadine
rgb(246,79,13)	Bittersweet Orange
rgb(244,112,17)	Salmon-Orange
rgb(240,18,3)	Grenadine Red
rgb(242,41,3)	Flame Scarlet
rgb(243,68,6)	Orange Chrome
rgb(159,6,2)	English Red
rgb(164,9,4)	Mars Orange
rgb(190,29,6)	Orange Rufous
rgb(44,4,3)	Mahogany Red
rgb(81,4,1)	Burnt Sienna
rgb(110,12,6)	Sanford's Brown
rgb(29,4,2)	Bay
rgb(30,3,2)	Chestnut
rgb(43,11,8)	Auburn
rgb(243,199,123)	Capuchine Buff
rgb(244,209,133)	Pale Yellow-Orange
rgb(240,215,115)	Pale Orange-Yellow
rgb(244,162,24)	Capuchine Orange
rgb(245,186,33)	Orange-Buff
rgb(241,212,37)	Light Orange-Yellow
rgb(245,112,7)	Mikado Orange
rgb(245,157,8)	Capuchine Yellow
rgb(240,171,13)	Deep Chrome
rgb(244,73,3)	Cadmium Orange
rgb(245,100,3)	Orange
rgb(237,158,7)	Cadmium Yellow
rgb(194,32,3)	Xanthine Orange
rgb(182,49,3)	Mars Yellow
rgb(185,80,8)	Raw Sienna
rgb(94,11,3)	Amber Brown
rgb(76,13,3)	Sudan Brown
rgb(88,30,8)	Antique Brown
rgb(28,5,3)	Argus Brown
rgb(37,7,4)	Brussels Brown
rgb(28,14,9)	Raw Umber
rgb(240,224,127)	Maize Yellow
rgb(222,215,111)	Baryta Yellow
rgb(241,240,125)	Martius Yellow
rgb(235,208,59)	Buff-Yellow
rgb(240,230,65)	Pinard Yellow
rgb(236,235,61)	Picnic Yellow
rgb(225,189,22)	Apricot Yellow
rgb(176,164,20)	Empire Yellow
rgb(241,237,41)	Pale Lemon Yellow
rgb(216,178,8)	Light Cadmium
rgb(234,218,6)	Lemon Chrome
rgb(214,212,18)	Lemon Yellow
rgb(185,131,4)	Aniline Yellow
rgb(162,133,8)	Sulphine Yellow
rgb(150,135,7)	Pyrite Yellow
rgb(77,39,3)	Orange-Citrine
rgb(77,54,5)	Citrine
rgb(74,73,6)	Warbler Green
rgb(32,13,4)	Medal Bronze
rgb(31,20,3)	Dark Citrine
rgb(24,27,5)	Olive-Green
rgb(239,237,163) Sulphur Yellow
rgb(233,239,150)	Pale Green-Yellow
rgb(233,240,166)	Pale Viridine Yellow
rgb(192,192,59)	Pale Greenish Yellow
rgb(230,240,117) Light Green-Yellow
rgb(192,200,65)	Light Viridine Yellow
rgb(171,174,32)	Light Greenish Yellow
rgb(217,233,49)	Green-Yellow
rgb(167,216,37)	Viridine Yellow
rgb(210,222,17)	Greenish Yellow
rgb(183,210,17)	Bright Green-Yellow
rgb(136,204,30)	Neva Green
rgb(152,157,8)	Oil Yellow
rgb(147,168,8)	Javel Green
rgb(125,164,13)	Cosse Green
rgb(68,74,7)	Yellowish Oil Green
rgb(55,78,7)	Oil Green
rgb(72,101,13)	Lettuce Green
rgb(28,38,4)	Calla Green
rgb(26,39,4)	Cerro Green
rgb(35,55,12)	Spinach Green
rgb(214,231,161)	Pale Yellow-Green
rgb(230,237,167)	Light Viridine Green
rgb(231,239,191)	Pale Cendre Green
rgb(222,232,73)	Light Yellow-Green
rgb(209,233,111)	Viridine Green
rgb(138,221,131)	Light Cendre Green
rgb(211,225,41)	Clear Yellow-Green
rgb(74,179,56)	Vanderpoel's Green
rgb(62,200,95)	Cendre Green
rgb(199,217,9)	Yellow-Green
rgb(172,228,30)	Night Green
rgb(105,215,75)	Emerald Green
rgb(147,169,13)	Calliste Green
rgb(125,164,23)	Scheele's Green
rgb(70,130,38)	Peacock Green
rgb(53,69,7)	Parrot Green
rgb(38,57,11)	Grass Green
rgb(9,46,20)	Meadow Green
rgb(19,30,6)	Cedar Green
rgb(6,24,6)	Cossak Green
rgb(5,16,6)	Antique Green
rgb(217,234,198)	Opaline Green
rgb(213,236,208)	Pale Blue-Green
rgb(200,236,228)	Pale Turquoise Green
rgb(179,224,148)	Neuviden Green	??
rgb(99,211,179)	Light Blue-Green
rgb(135,224,207)	Turquoise Green
rgb(116,213,102)	Chrysoprase Green
rgb(30,159,121)	Tyrolite Green
rgb(63,207,181)	Venice Green
rgb(8,144,58)	Vivid Green
rgb(5,93,69)	Skobeloff Green
rgb(5,107,142)	Benzol Green
rgb(5,75,34)	Viridian Green
rgb(4,44,42)	Guinea Green
rgb(4,46,65)	Ethyl Green
rgb(4,43,24)	Dark Viridian Green
rgb(4,35,29)	Wall Green
rgb(3,28,38)	Sorrento Green
rgb(5,28,14)	Diamine Green
rgb(5,30,26)	Anthracene Green
rgb(3,14,20)	Myrtle Green
rgb(185,223,229)	Beryl Blue
rgb(187,218,226)	Pale Blue (Ethyl Blue)
rgb(199,216,226)	Pallid Methyl Blue
rgb(126,201,212)	Calamine Blue
rgb(147,195,225)	Pale Cerulean Blue
rgb(135,187,217)	Pale Methyl Blue
rgb(64,167,199)	Cendre Blue
rgb(67,158,223)	Light Cerulean Blue
rgb(64,127,220)	Light Methyl Blue
rgb(13,99,160)	Italian Blue
rgb(18,73,191)	Cerulean Blue
rgb(20,49,194)	Methyl Blue
rgb(7,28,90)	Peacock Blue
rgb(10,33,140)	Oxide Blue
rgb(20,28,130)	Leitch's Blue
rgb(3,7,30)	Patent Blue
rgb(3,7,71)	Antwerp Blue
rgb(5,10,88)	Paris Blue
rgb(3,6,28)	Blackish-Green-Blue
rgb(3,7,46)	Marine Blue
rgb(4,5,36)	Berlin Blue
rgb(198,209,234)	Pale Mazarine Blue
rgb(199,204,234)	Pale Amparo Blue
rgb(195,198,224)	Pallid Violet-Blue
rgb(122,152,229)	Mazarine Blue
rgb(130,150,227)	Light Amparo Blue
rgb(153,161,219)	Pale Violet-Blue
rgb(62,83,228)	Salvia Blue
rgb(83,89,231)	Amparo Blue
rgb(103,109,216)	Light Violet-Blue
rgb(10,26,199)	Spectrum Blue
rgb(20,26,206)	Bradley's Blue
rgb(32,26,192)	Phenyl Blue
rgb(8,14,175)	Ultramarine Blue
rgb(9,8,175)	Lyons Blue
rgb(29,23,150)	Smalt Blue
rgb(5,8,116)	Rood's Blue
rgb(8,6,111)	Helvetia Blue
rgb(20,16,97)	Hay's Blue
rgb(6,5,48)	Prussian Blue
rgb(4,5,62)	Cyanine Blue
rgb(21,19,47)	Azurite Blue
rgb(202,200,236)	Pallid Blue-Violet
rgb(204,197,239)	Pallid Bluish Violet
rgb(207,197,235)	Pallid Violet
rgb(157,158,227)	Pale Blue-Violet
rgb(163,156,225)	Pale Bluish Violet
rgb(159,141,216)	Pale Violet
rgb(99,92,221)	Light Blue-Violet
rgb(103,86,221)	Light Bluish Violet
rgb(114,89,217)	Light Violet
rgb(25,6,185)	Blue-Violet
rgb(30,5,180)	Bluish Violet
rgb(33,7,129)	Spectrum Violet
rgb(16,8,116)	Deep Blue-Violet
rgb(28,10,135)	Violet Ultramarine
rgb(21,9,105)	Royal Purple
rgb(7,4,59)	Hyacinth Blue
rgb(6,4,47)	Roslyn Blue
rgb(16,12,59)	Dark Violet
rgb(4,3,8)	Dark Aniline Blue
rgb(4,2,13)	Dark Bluish Violet
rgb(5,3,11)	Blackish Violet
rgb(219,177,238)	Pale Hortense Violet
rgb(230,160,240)	Pale Amparo Purple
rgb(238,183,236)	Phlox Pink
rgb(180,58,209)	Light Hortense Violet
rgb(205,101,219)	Light Amparo Purple
rgb(217,101,225)	Light Phlox Purple
rgb(134,36,194)	Hortense violet
rgb(158,44,200)	Amparo Purple
rgb(186,25,163)	Phlox Purple
rgb(60,3,143)	Amethyst Violet
rgb(104,4,133)	Violet-Purple
rgb(177,5,146)	Purple. (True)
rgb(35,3,67)	Hyacinth Violet
rgb(42,3,37)	Pansy Violet
rgb(59,4,21)	Rood's Violet
rgb(13,3,23)	Mulberry Purple
